"Artikelnummer";"Name";"Kategorie";"Beschreibung";"EK";"Lieferanten Nr.";"Geändert";"VK Verkaufspreis "
"428015";"EATO FI-Schutzschalter FUG PXF-40/4/03-A 4polig 40/0,3A";"FI RCD";"Fehlerstrom-Schutzschalter PXF, 4-polig, Bemessungsstrom Ein: 40 A, Bemessungskurzschlussfestigkeit Icn: 10 kA, Bemessungsfehlerstrom I?N: 0,3 A, Schaltgeräte für den Wohnungsbereich und kommerzielle Anwendungen";"45";"";"28.08.25";"58.5"
"428014";"ABB Hauptsicherungsautomat S751/3-E50 3x1polig SEL";"SLS";"Die selektiven Haupt-Sicherungsautomaten der Baureihe S750 sind nach DIN VDE 0641-21 als spannungsunabhängige selektive Hauptleitungsschutzschalter (SHU) zertifiziert sowie laienbedienbar und für die höchste Überspannungskategorie ausgelegt. Ihr Anwendungsgebiet ist vielfältig: als Trennvorrichtung am Zählerplatz gemäß der TAB der Netzbetreiber bzw. VDE-AR-N 4101 genauso wie in allen Niederspannungs-Hauptverteilungen zum Schutz von Verteilungsstromkreisen und als Freischalteinrichtung mit Trennfunktion. Hervorzuheben sind die besonderen Selektivitätseigenschaften zur Sicherstellung einer hohen Anlagenverfügbarkeit. Die Baureihe S750 ist zur direkten Montage auf ein 4-oder 5-poliges Sammelschienensystem 40mm (12mm x 5/10mm) vorgesehen. Unabhängig von der Nennstromstärke des S750 kann über die untere Klemme direkt mit bis zu 50mm² und max. 100A auf das Sammelschienensystem eingespeist werden. Geräte der S 750-Familie beinhalten eine integrierte Sperrmöglichkeit, die eine gleichzeitige Blockierung der 3 Pole einer Drehstrom-Versorgung ermöglicht. Der integrierte Sperrschieber verriegelt in EIN- oder AUS-Stellung und kann zusätzlich mit Vorhängeschloss, Drahtplombe oder Kabelbinder gesichert werden.";"80";"";"28.08.25";"104"
"1381";"Hardy Barth Smartmeter eCB1 MP+";"Smartmeter";"- Einbau im Zählerschrank 4 TE
- Schnittstelle: LAN und RS485
- Darstellung des Gesamtverbrauchs je Phase und insgesamt
- Visualisierung über Weboberfläche
- 400 V, 3-Phasen bis 63 A oder mit Wandlermessung bis 1000 A 
- Dynamische Ladestromregelung mit reinem PV Strom ab 6A pro Phase in 0,1 A Schritten
- Umschaltung zwischen Öko und Power-Laden über die Weboberfläche";"263.62";"";"26.08.25";"316.34"
"428013";"Zählerschrank mit 4 Zählerplätzen, APZ und Verteilerfeld";"";"";"0";"";"26.08.25";"0"
"428012";"Kupfererdkabel NYY-O 4x16qmm";"";"";"9";"";"26.08.25";"11.7"
"428011";"WAGO Kammbrücker 2001-402 TOPJOB S lichtgrau 2fach";"Eletroinstallation";"Explosionsgeprüfte Ausführung &quot;Ex e&quot;: ja

Montageart: steckbar

Bemessungsspannung: 800 V

Anzahl der gebrückten Klemmen: 2

Mit Berührungsschutz: ja

Farbe: grau

Ausführung: Querverbinder

Bemessungsstrom In: 18 A

Isoliert: ja

Rastermaß: 4.2 mm";"0.21";"230161";"25.08.25";"0.27"
"428002";"WAGO Durchgangsklemme 2-Leiter 2002-1201 2,5qmm grau";"Eletroinstallation";"WAGO Durchgangsklemme 2-Leiter 2002-1204 2-Leiter 2,5qmm blau


Farbe: blau

Anzahl der Etagen: 1

Anschließbarer Leiterquerschnitt feindrähtig mit Aderendhülse:

0.75 - 2.5 mm²

Anzahl der Klemmstellen je Etage: 2

Ausführung elektrischer Anschluss 2: Federzuganschluss

Montageart: Hutschiene TH35

Anschließbarer Leiterquerschnitt mehrdrähtig: 0.25 - 2.5 mm²

Betriebstemperatur:105 - 105 °C

Brennbarkeitsklasse des Isolierstoffs nach UL94: V0

Explosionsgeprüfte Ausführung &quot;Ex e&quot;: ja

Anschließbarer Leiterquerschnitt eindrähtig: 0.75 - 4 mm²

Bemessungsspannung: 800 V

Bemessungsstrom In: 24 A

Ausführung elektrischer Anschluss 1: Federzuganschluss

Breite: 5.2 mm

Tiefe: 32.9 mm

Anschließbarer Leiterquerschnitt feindrähtig ohne Aderendhülse:

0.25 - 4 mm²

Werkstoff des Isolierkörpers: Thermoplast

Höhe: 48.5 mm

Abschlussplatte erforderlich: ja";"0";"230161";"25.08.25";"0"
"428003";"WAGO 2 Leiter Schutzleiterklemme 2002-1207 2,5qmm grün-gelb";"Eletroinstallation";"";"1.68";"";"25.08.25";"2.18"
"428001";"EATO FI/LS-Schalter PXK-B16/1N/003-A B-Char 16A, 1p+N, 30mA";"Elektro";"Stoßstromfestigkeit: 3 kA

Abschaltcharakteristik: unverzögert

Energiebegrenzungsklasse: 3

Unterputzmontage: nein

Bemessungsstrom: 16 A

Polzahl (gesamt): 2

Breite in Teilungseinheiten: 2

Bemessungsspannung: 240 V

Bemessungsabschaltvermögen nach EN 61009: 10 kA

Schutzart (IP): IP20  

Frequenz: 50 Hz

Verschmutzungsgrad: 2

Mit Verriegelungsvorrichtung: nein

Fehlauslöseschutz: ja

Fehlerstrom-Typ: F

Auslösecharakteristik: B  

Spannungsart: AC

Anzahl der abgesicherten Pole: 1

Bemessungsfehlerstrom: 0.03 A

Anschließbarer Leiterquerschnitt eindrähtig: 1 - 25 mm²";"28.1";"";"25.08.25";"36.53"
"428009";"Schuko Steckdose 2-fach Aufputz";"";"";"0";"";"25.08.25";"0"
"1996";"Notstrom / Ersatzstrom Chint";"";"- Softwaretechnische Einstellung des vollwertigen Ersatzstrom";"150";"";"20.08.25";"195"
"1479";"PV- Speicher Ecoflow 20,4 kWh";"PV- Speicher";"-  EcoFlow PowerOcean LFP-Batterie

- Integrierter Feuerlöscher

- Integrierter Frostschutz

- IP65 geschützt

- Jederzeit erweiterbar bis zu 45 kWh

- Abmessungen (2x) 680×183×1009 

- 15 Jahre Produktgarantie ";"6465";"";"13.08.25";"8404.5"
"1482";"PV- Speicher Ecoflow 35,7 kWh  ";"PV- Speicher";"-  EcoFlow PowerOcean LFP-Batterie

- Integrierter Feuerlöscher

- Integrierter Frostschutz

- IP65 geschützt

- Jederzeit erweiterbar bis zu 45 kWh

- Abmessungen (2x)  680×183×1406 

+ (1x) 680x183x486

- 15 Jahre Produktgarantie ";"10962";"";"13.08.25";"14250.6"
"1483";"PV- Speicher Ecoflow 40,8 kWh  ";"PV- Speicher";"-  EcoFlow PowerOcean LFP-Batterie

- Integrierter Feuerlöscher

- Integrierter Frostschutz

- IP65 geschützt

- Jederzeit erweiterbar bis zu 45 kWh

- Abmessungen (2x)  680×183×1406 

+ (1x) 680x183x937

- 15 Jahre Produktgarantie ";"12461";"";"13.08.25";"16199.3"
"1485";"Ecoflow  Nachrüstmodul 5,1 kWh";"PV- Speicher";"-  EcoFlow PowerOcean LFP-Batterie

- Integrierter Feuerlöscher

- Integrierter Frostschutz

- IP65 geschützt

- Abmessungen  680×183×612 

- 15 Jahre Produktgarantie ";"1385";"";"13.08.25";"1800.5"
"1476";"PV- Speicher Ecoflow  5,1 kWh";"PV- Speicher";"-  EcoFlow PowerOcean LFP-Batterie

- Integrierter Feuerlöscher

- Integrierter Frostschutz

- IP65 geschützt

- Jederzeit erweiterbar bis zu 45 kWh

- Abmessungen  680×183×612 

- 15 Jahre Produktgarantie ";"1854";"";"13.08.25";"2410.2"
"1481";"PV- Speicher Ecoflow 30,6 kWh ";"PV- Speicher";"-  EcoFlow PowerOcean LFP-Batterie

- Integrierter Feuerlöscher

- Integrierter Frostschutz

- IP65 geschützt

- Jederzeit erweiterbar bis zu 45 kWh

- Abmessungen (2x) 680×183×1406 

- 15 Jahre Produktgarantie ";"9248";"";"13.08.25";"12022.4"
"1484";"PV- Speicher Ecoflow 45,9 kWh   ";"PV- Speicher";"-  EcoFlow PowerOcean LFP-Batterie

- Integrierter Feuerlöscher

- Integrierter Frostschutz

- IP65 geschützt

- Abmessungen  (3x)  680×183×1406 

- 15 Jahre Produktgarantie ";"13872";"";"13.08.25";"18033.6"
"428006";"Hybrid Wechselrichter - Fronius Symo GEN24 10.0 Plus (Notstrom Kompatibel)";"";"Der Fronius Symo ist der perfekte Hybrid-Wechselrichter für Privathaushalte mit Leistungsklassen von 3.0 bis 10.0 kW. Er bietet zahlreiche Features wie Energiemanagement, WLAN- und Ethernet-Anbindung sowie einfache Integration von Drittanbieter-Komponenten. Mit den Notstromvarianten PV Point und Full Backup gewährleistet er Versorgungssicherheit bei Netzausfällen.Besonderheiten:
- Notstrom-Funktion: Inklusive für zuverlässige Energieversorgung
- Flexibilität: Anschlussmöglichkeiten für verschiedene Batteriehersteller
- Innovativ: Kompaktes Design für maximalen Platzgewinn.Technische DatenWechselrichter-Typ:Hybrid-WechselrichterMax. Generatorleistung:15,0 kWAC-Nennleistung:10,0 kWEinspeisephasen:3DC-Eingänge:2+1MPP-Tracker:2Max. Eingangsspannung:1000 VMPP Spannung Minimal:80 VMPP Spannung Maximal:800 VSchutzart:IP66Kommunikation:RS485 / Ethernet / Modbus RTU / USB 2.0Abmessungen (H x B x T):595 x 529 x 180 mmGewicht:24 kg";"2127";"";"12.08.25";"2765.1"
"428005";"Gutschrift";"";"";"0";"";"11.08.25";"0"
"428004";"WAGO Endklammer 249-116 6mm für TS35";"";"Farbe: grau

Tiefe: 28 mm

Ausführung der Verriegelung: schraubenlos

Werkstoff: Kunststoff

Montageart: Hutschiene TH35

Breite: 6 mm

Höhe: 44 mm

Brennbarkeitsklasse des Isolierstoffs nach UL94: V0";"0.41";"";"11.08.25";"0.53"
"230208";"WAGO Durchgangsklemme 2-Leiter 2002-1204 2-Leiter 2,5qmm blau";"Eletroinstallation";"Farbe: blau

Anzahl der Etagen: 1

Anschließbarer Leiterquerschnitt feindrähtig mit Aderendhülse:

0.75 - 2.5 mm²

Anzahl der Klemmstellen je Etage: 2

Ausführung elektrischer Anschluss 2: Federzuganschluss

Montageart: Hutschiene TH35

Anschließbarer Leiterquerschnitt mehrdrähtig: 0.25 - 2.5 mm²

Betriebstemperatur:105 - 105 °C

Brennbarkeitsklasse des Isolierstoffs nach UL94: V0

Explosionsgeprüfte Ausführung &quot;Ex e&quot;: ja

Anschließbarer Leiterquerschnitt eindrähtig: 0.75 - 4 mm²

Bemessungsspannung: 800 V

Bemessungsstrom In: 24 A

Ausführung elektrischer Anschluss 1: Federzuganschluss

Breite: 5.2 mm

Tiefe: 32.9 mm

Anschließbarer Leiterquerschnitt feindrähtig ohne Aderendhülse:

0.25 - 4 mm²

Werkstoff des Isolierkörpers: Thermoplast

Höhe: 48.5 mm

Abschlussplatte erforderlich: ja";"0.5";"230161";"11.08.25";"0.65"
"295207";"DC HDR-100-24 (3,83A DC) Netzteil";"";"";"56";"";"11.08.25";"72.8"
"428000";"Abwicklungspauschale Meteocontrol";"";"";"21";"";"11.08.25";"27.3"
"295209";"Si-12TC-T";"";"";"549";"";"11.08.25";"713.7"
"295208";"MX-Module RS485/422 Erweiterungsmodul";"";"";"175";"";"11.08.25";"227.5"
"295205";"blue&#039;Log XC Parkregler";"Eletro Kommunikation";"";"1140";"";"11.08.25";"1482"
"295206";"DC HDR-100-24 (3,83A DC) Netzteil";"";"";"0";"";"11.08.25";"0"
"295203";"HENS Leergehäuse Mi 0400";"Eletro";"Oberflächenschutz: unbehandelt

Anzahl der Öffnungen für Flanschplatten: 6

Materialstärke Tür/Deckel: 3 mm

Montageart: Aufputz

Art der Abdeckung: Deckel

Art der Tür: ohne

Höhe: 600 mm

Mit Schloss: nein

Werkstoff des Gehäuses: Kunststoff

Schutzklasse: II

Schlagfestigkeit: IK08

Materialstärke Gehäuse: 3 mm

Schutzart (IP): IP65

Tiefe: 170 mm

Ausführung Deckel: geschlossen

Breite: 300 mm

Transparenter Deckel/Tür: ja

Anzahl der Reihen: 1

RAL-Nummer: 7032  

Einbautiefe: 146 mm";"245.03";"";"11.08.25";"318.54"
"295204";"DRMC Datenkabel Cat7 1000MHz UC900HS 4P23 S/FTP PE schwarz TR1000";"Eletro Kabel";"Leiternennquerschnitt: 0.25 mm²

Leiter-Klasse: Kl.1 = eindrähtig

Werkstoff der Aderisolation: Polyolefine

Anzahl der Verseilelemente: 4

Min. zulässiger Biegeradius, stationärer Einsatz/fest verlegt: 

30 mm

Bewehrung/Armierung: ohne

Verseilung: Lagen

Halogenfrei nach EN IEC 60754-2: nein

Mantel-Farbe: schwarz

Außendurchmesser ca.: 7.35 mm

Ader-Kennzeichnung: Farbe

Leiter-Oberfläche: blank

Spezifizierung Mantelmaterial: Polyethylen (PE)

Verseilelement: Paare

Spezifizierung Aderisolation: Polyethylen (PE)

Min. zulässiger Biegeradius, flexibler Einsatz mit Zwangsführung:

60 mm

Max. Zugfestigkeit während der Verlegung: 0.11 kN

Ader-Zahl: 8

Kategorie: 7

Leiterdurchmesser: 0.56 mm";"0.25";"";"11.08.25";"0.33"
"2050";"FIELDS Schotter/ Feldweg";"";"Schotter- und Feldwegarbeiten";"75";"";"11.08.25";"97.5"
"2054";"FIELDS Kabel &amp; Schutzrohr";"";"Auslegen bzw. Einbringen von Kabel und Schutzrohr";"7";"";"11.08.25";"9.1"
"2053";"FIELDS Bohrungen";"";"Bohrungsarbeiten";"120";"";"11.08.25";"156"
"2051";"FIELDS Grünstreifen";"";"Grünstreifenarbeiten";"75";"";"11.08.25";"97.5"
"2052";"FIELDS Asphalt ";"";"Asphaltarbeiten";"225";"";"11.08.25";"292.5"
"1906";"SolarEdge Home Batterie-Niedervolt Nachrüst-Batteriemodul 4,85 kWh";"";"- Batterietyp: 48 Volt Lithium-Eisen-Phosphat 
- Garantie: 10 Jahre 
- Nettokapazität: 4,85 kWh 
- Phasen: 3 
- Speicher-Typ: 48 V Batterie";"1463";"";"09.08.25";"1901.9"
"2056";"NYY-J 5x1,5qmm ";"";"Installationsleitung NYY-J 5x1,5qmm zur Verlegung im Außenbereich und Erdreich";"1.5";"";"08.08.25";"1.95"
"2055";"NYY-J 5x6qmm";"Leitungen";"Installationsleitung zur Verlegung im Außenbereich und im Erdreich";"3.7";"";"08.08.25";"4.81"
"1195";"Solaredge Wallbox 22 kW + Einbau TSG + Montage";"Wallbox";"- Festes Ladekabel - 6 Meter (Typ 2)
- RFID- Modul (1 Karte enthalten)
- MID Zähler
- Montage bis 10m inklusive
- Darüber hinaus wird nach tatsächlichem Aufwand abgerechnet ( 20€ pro 1m Kabelweg, 50€ pro Durchbruch)
- Einbau TSG (Steuereinheit für den Netzbetreiber)
- vorbereitet auf bidirektionales laden";"1307.79";"";"07.08.25";"1712"
"2048";"Solaredge One Wallbox 11/22 kW + Einbau TSG + Montage ";"Wallbox";"- Ladeleistung flexibel einstellbar 11/22 kW 
- Festes Ladekabel - 6 Meter (Typ 2)
- RFID- Modul (1 Karte enthalten)
- MID Zähler
- Montage bis 10m inklusive
- Darüber hinaus wird nach tatsächlichem Aufwand abgerechnet ( 20€ pro 1m Kabelweg, 50€ pro Durchbruch)
- Einbau TSG (Steuereinheit für den Netzbetreiber)
- vorbereitet auf bidirektionales laden";"1023.75";"";"07.08.25";"1330.88"
"";"Speicherupgrade";"";"";"0";"";"05.08.25";"0"
"1982";"Hybrid - Wechselrichter Chint 20 kW    ";"Hybrid- WR";"Chint ECH20K-TH-EU
- Eingangsspannungsbereich von 160-1000 V
- MPP Tracker: 4
- Intelligente tou (time of use) Steuerung
- 2 Batterieausgänge
- Hoher Wirkungsgrad von bis zu 99,9 %
- Integrierter Vollwertiger Ersatzstrom
-  0.8 C Entladerate
- externe Anschlüsse, kein Öffnen des Wechselrichters nötig
- SG-Ready Kontakt vorhanden (zur Ansteuerung z.B. Wärmepumpe)
- 10 Jahre Garantie
- IP66  geschützt";"1446";"";"04.08.25";"2169"
"1365";"Hybrid - Wechselrichter SolarEdge RWS 8 kW";"";"SE8K-RWS48BEN4SolarEdge

- Optimierer Schnittstelle

- Batteriefähig - App Management
- Für Innen- und Außeninstallationen geeignet
- 12 Jahre Herstellergarantie 25 Jahre erweiterbar";"750";"";"31.07.25";"975"
"1208";"Wechselrichter Sungrow 20 kW";"WR";"- Sungrow Residential SG20.0RT

 - PID Recovery Funktion

 - Eingangsspannungsbereich von 160–1000 V 

- niedriger Anlaufstrom - Hoher Wirkungsgrad von bis zu 98,1 % 

- WiNet-Modul: Wifi und Ethernet Anschluss

 -DC und AC Überspannungsschutz Typ 2 

- Kühlsystem 

- Remote-Firmware Updates 

- 10 Jahre Herstellergarantie";"640";"";"30.07.25";"832"
"1384";"Absicherung der Wallbox";"";"- FI Schutzschalter 40/0,03A
- LSS B16 3pol
- Abgangsklemme
- Montage im ZK";"0";"";"30.07.25";"120"
"1428";"Einbau Stromzähler";"";"- Beinhaltet die fachgerechte und vorschriftskonforme Installation eines Stromzählers.";"180";"";"25.07.25";"180"
"2037";"Mieterstrom PV-Zähler";"";"- Misst die gesamte erzeugte Energie der PV-Anlage 
- Grundlage für Abrechnung bei Einspeisung 
- Ermöglicht die Unterscheidung zwischen Eigenverbrauch und Einspeisung
- Dient zur Überwachung der PV-Leistung
- Pflicht bei Anlagen mit Einspeisung ins öffentliche Netz";"249";"";"24.07.25";"323.7"
"";"Wifi Verstätker";"";"";"0";"";"24.07.25";"0"
"";"Switch";"";"";"0";"";"24.07.25";"0"
"2046";"enwitec NA-Schutz 2x86,3 kVA, 2x125 A - TNS / TT-Netz";"NA-Schutz";"Zentraler NA-Schutz und Kuppelschalter für PV-Anlagen bis 2x 77,6 kW / 86,3 kVA nach VDE-AR-N 4105:2018-11.Produkteigenschaften:
- max. Scheinleistung der Erzeugungsanlage: 2 x 86,3 kVA
- Netzspannung: 3 x 230 / 400 V, 50 Hz
- Nennstrom: 2 x 125 A
- Netzform: TT- oder TN-S
- Schutzart: IP54
- Abmessungen: ca. 720 x 720 x 230 (mm) (B x H x T)
- Gewicht: 23 kgInkl. vollständiger Montage und Testung. ";"3500";"";"23.07.25";"4550"
"2045";"Aluminium- Kabelkanal 44x11";"Kabelkanal";"- LFG 44x11
- Aluminium Kabelkanal
- Farbe: RAL9005";"35.64";"";"21.07.25";"46.33"
"1216";"PV - Speicher BYD HVS 5.1 kWh";"PV- Speicher";"- BYD Battery-Box Premium HVS 5.1 

- Preisgekrönte Effizienz dank echter Serienschaltung 

- Das patentierte modulare Steckdesign erfordert keine interne Verkabelung und ermöglicht maximale Flexibilität und Benutzerfreundlichkeit

 - Kobaltfreie Lithium-Eisen-Phosphat-Batterie (LFP): Maximale Sicherheit, Lebensdauer und Leistung 

-Höchste Sicherheitsstandards wie VDE 2510-50 

-Leistungsstarke Not-/Ersatzstrom- und Off-Grid- Funktionalität 

- 10 Jahre Herstellergarantie";"1839.16";"";"21.07.25";"2390.91"
"2039";"Mieterstrom Mieterzähler ";"";"- Erfasst den individuellen Stromverbrauch eines Mieters innerhalb eines Mieterstrommodells
- Ermöglicht verbrauchsgenaue Abrechnung gegenüber dem einzelnen Mieter";"98";"";"18.07.25";"127.4"
"2043";"Mieterstrom Einrichtung Wandlerzähler ";"";"-  Anschluss und Konfiguration eines Zählers mit Stromwandlern zur Messung hoher Ströme";"69";"";"18.07.25";"89.7"
"2044";"SolarEdge Optimierer S650B-1GM4MBM";"";"Mit den Leistungsoptimierern von SolarEdge kann aus jeder PV-Anlage das Maximum an Leistung herausgeholt werden. Der S650B Optimierer eignet sich dabei perfekt für Module bis zu einer Größe von 650 Wp und hohen Spannungen und/oder kürzeren Strängen. 
 Vorteile der SolarEdge Optimierer: 
- Maximale Leistung auf Modulebene 
- nicht der ganze String durch Verschattung betroffen 
- kontinuierliches MPP-Tracking 
- Monitoring auf Modulbasis möglich 
- mehr Leistung bei Verschattung und verschiedenen Ausrichtungen 
- Module verschiedener Leistungsklassen kombinierbar ohne Verluste 
- Erkennt abnormales Verhalten von PV-Steckern, 
- verhindert potenzielle Sicherheitsprobleme
- MPPT-Betriebsbereich 12,5 - 85 V 
- Module bis 650 W 
- 15 A max. Kurzschlussstrom
- 0,1 m Eingangskabel 
- 2,3 m Ausgangskabel 
- SafeDC Funktion reduziert die Spannung im Störungsfall automatisch auf 1 Volt pro Modul 

Leistungsverluste für einen kompletten String durch Verschattung oder verschiedene Ausrichtungen gehören mit den SolarEdge Leistungsoptimierern der Vergangenheit an. Dank des MPP-Trackings auf Modulebene wird jedes Modul einzeln gesteuert und der String kann so die maximal verfügbare Leistung erbringen. Einfache Installation und maximaler Ertrag ist mit den S650B Optimierern einfach zu realisieren.";"62.7";"";"18.07.25";"81.51"
"2042";"Mieterstrom Smartmeteter Gateway (virtuell)";"";"- Erlaubt exakte zeitgleiche Bilanzierung von PV-Erzeugung und Mieterverbrauch (15-Minuten-Intervalle)";"289";"";"18.07.25";"375.7"
"2041";"Mieterstrom Wärmepumpenzähler";"";"- Erfasst den Stromverbrauch einer Wärmepumpe getrennt vom restlichen Haushalts- oder Gewerbestrom
- Dient als Grundlage für Sondertarife für Wärmestrom
- Ermöglicht eine klare Zuordnung und Abrechnung der Wärmepumpenkosten";"249";"";"18.07.25";"323.7"
"2040";"Mieterstrom Wallboxzähler ";"";"-  Erfasst den Stromverbrauch einer oder mehrerer Ladestationen (Wallboxen)




-  Grundlage für die Abrechnung von Ladestrom, z.?B. gegenüber einem Mitarbeiter, Mieter oder im Flottenbetrieb




- Ermöglicht die Trennung des Ladeverbrauchs vom restlichen Haushalts- oder Gewerbestrom";"249";"";"18.07.25";"323.7"
"2038";"Mieterstrom Allgemeinstromzähler ";"";"- Erfasst den Stromverbrauch für gemeinschaftlich genutzte Bereiche in einem Gebäude (z.?B. Treppenhaus, Keller, Außenbeleuchtung, Heizungsanlage)
- Grundlage für die Umlage auf alle Mieter oder Eigentümer über die Nebenkostenabrechnung
- Dient zur Transparenz und fairen Verteilung der allgemeinen Stromkosten";"249";"";"18.07.25";"323.7"
"1992";"PV- Speicher Chint 10 kWH";"PV- Speicher";"- Chint HV- Battery Residential
- Integrierter Frostschutz
- IP66 geschützt
- Jederzeit erweiterbar bis zu 240 kWh
- 10 Jahre Produktgarantie ";"2122";"";"16.07.25";"3076.9"
"1671";"Erneuerung Fehlerstrom-Schutzschaler (FI)";"";"Personensicherheit

- Tausch des vorhandenen Haus- FI gegen ein neues Produkt
- Montage + Prüfung ";"89";"";"16.07.25";"99.68"
"2035";"Mieterstrom Gateway ";"";"- Abgleich von PV- und Speicherverbrauchswerten
- Berechnung der Datengrundlage  sowie Kommunikation zwischen den Einheiten ";"899";"";"16.07.25";"1168.7"
"2033";"Mieterstrom Zwischenzähler eBZ WD3";"";"Zwischenzähler eBZ WD3


- Der Zähler WD3 arbeitet als direktmessender Drehstrom- bzw. Wechselstromzähler.
- Der Einbau erfolgt in Zählerplatzsystemen mit Zählerräumen nach DIN VDE 0603-1.
- Die Übereinstimmung des bezeichneten Produktes mit den Vorschriften der Richtlinien wird nachgewiesen durch die vollständige Einhaltung der Normen: DIN EN 50470-1:2019-08 und DIN EN 50470-3:2020-03.
- Der Zähler stimmt mit den EU-Richtlinien 2014/32/EU (Messgeräte) und 2014/30/EU (EMV) überein.";"129";"";"16.07.25";"167.7"
"2034";"Mieterstrom Optokoppler";"";"Modbus-RTU
- Der im Gehäuse integrierte Controller liest über die optische Schnittstelle die Daten des Zählers aus, interpretiert diese und stellt sie in Modbus-Registern abrufbar zur Verfügung.
- Übersendung von Messwerten an das Gateway z.B.: Summenstromzähler, PV, usw.";"145";"";"16.07.25";"188.5"
"2036";"SMA Commercial Storage Solution 50kW / 80 kWh";"";"Paketvorteile
- Erweiterte Speicherkapazität von 80 kWh für höhere Autarkie und größere Lastverschiebungen
- Flexibel skalierbar bis 50 Wechselrichter und je 4 Batterietürme
- Eigenverbrauchsoptimierung, Lastspitzkappung, Multi-Use (z.?B. Time-of-Use)
- Integriertes Energiemanagement durch SMA System Manager
- Monitoring über Modbus, Webconnect und SMA Speedwire
- 10 Jahre Garantie auf das gesamte System (Registrierung binnen 30 Tagen nach IBN erforderlich)Produkteigenschaften SMA Sunny Tripower Storage X 50
- Netzanschluss: 3-phasig
- Leistung: 50 kW
- Erweiterbar bis 50 Wechselrichter (mit Data Manager M)
- Kommunikation: Modbus (SMA, Sunspec), SMA Speedwire, Webconnect
- Eigenverbrauch: 25 W (wenn AC + DC angeschlossen ist)
- Schutzart: IP65
- Gewicht: 104 kg
- Maße: 772 x 837,3 x 443,8 mm (BxHxT)";"43000";"";"15.07.25";"52900"
"2030";"Anker SOLIX Solarstromspeicher Solarbank 3 E2700 Pro";"";"";"1499";"";"11.07.25";"1948.7"
"2029";"SolarEdge Wechselrichter 2,2 kW - SE2200H-BEN4";"";"- AC-Leistung: 2,2 kW
- Phasen: 1 
- Wechselrichter-Typ: PV-Wechselrichter 
- DC-Nennspannung 380 Vdc
- Sehr hoher Wirkungsgrad von bis zu 99,2 %
- Anschlüsse für Rundsteuerempfänger
- Optional WiFi, ZigBee Gateway oder GSM
- 2,2 kVA Leistung 1 Phasig
- 1 Paar MC4 Eingänge
- Schnittstellen: Ethernet RJ45, RS485
- Schutzklasse: IP65
- Abmessungen: 280 x 370 x 142 mm (H x B x T)
- Gewicht: 7,8 kg
- Standardgarantie: 12 Jahren
-";"378.74";"";"09.07.25";"492.36"
"2009";"Chint 261kWh / 125kW Gewerbespeicher  ";"SP";"CPS ES-125kW/261kWh-EU
- Kompakte Bauweise für Indoor Anwendungen
- Peakshaving 
- Notstromfunktion 
- Systemschränke
- Nutzbare Batteriekapazität: 261 kWh
- Nennspannung: 832V
- Nennleistung: 125 kW
- Abmessungen: 1000*1400*2400mm (HxBxT)";"42500";"";"08.07.25";"55250"
"2028";"Wechselrichter SolarEdge 90 kW";"";"SolarEdge SE90K


Dreiphasiger SolarEdge Wechselrichter mit Synergie-Technologie mit bis zu 100 kW Leistung und Anschluss ans Niederspannungsnetz.

Produktvorteile 
- 12 Jahre Standardgarantie auf Wechselrichter (Verlängerung auf 20 Jahre: 1.270€)
- Integrierte SafeDC und Lichtbogenerkennung
- Europäisch gewichteter Wirkungsgrad: 98 %
- Anschlüsse für Rundsteuerempfänger
- Optional: WLAN oder MobilfunkProdukteigenschaften SolarEdge SE90K
- AC-Nennleistung: 90 kVA
- Max. DC-Leistung: 135 kWp (bei STC)
- AC Spannungsebene: Niederspannungsnetz
- Überspannungsschutz: Typ II integriert
- Schutzklasse: IP65
- Abmessungen Synergie Einheiten: 558 x 328 x 273 mm
- Abmessungen Manager-Einheit: 360 x 560 x 295 mm";"4284";"";"08.07.25";"5569.2"
"2026";"SolarEdge Home Batterie-Niedervolt Nachrüst-Batteriemodul 4,6 kWh";"";"";"1463";"";"07.07.25";"1901.9"
"1575";"Skywind NG1000";"";"Ihr Lieferumfang:
- SkyWind Maschinengondel mit Generator
- Patentiertes SkyWind Ganzmetall-Rotorblatt (2x)
- Windkraftnetzwechselrichter mit Bordcomputer 
- Keramikbremslast mit Wandmontage &amp; Kabeln
- Automatisches Sturmabschaltungs- und Schutzsystem";"2300";"";"02.07.25";"2990"
"1584";"Service Techniker Stunde";"";"- Zeitindikation
- Wird nach tatsächlicher Arbeitszeit berechnet";"38.8";"";"02.07.25";"77.6"
"1185";"PV - Speicher SolarEdge 9,7 kWh";"";"Modularer Speicher nach höchsten Sicherheitsstandard


- SolarEdge Home Batterie-Niedervolt 9,7 kWh  
- Modular erweiterbar
- 48 Volt Lithium-Eisen-Phosphat
- 10 Jahre Herstellergarantie
- Dimensionen (B x H x T): 540 x 500 x 240 mm pro Batteriemodul";"3006.62";"";"02.07.25";"3908.61"
"1164";"PV- Speicher SolarEdge 14,55 kWh";"";"Modularer Speicher nach höchstem Sicherheitsstandard


- SolarEdge Home Batterie-Niedervolt 14,55 kWh  
- Modular erweiterbar
- 48 Volt Lithium-Eisen-Phosphat
- 10 Jahre Herstellergarantie
- Dimensionen (B x H x T): 540 x 500 x 240 mm pro Batteriemodul";"4351.29";"";"02.07.25";"5656.68"
